FID,TileID,XMin,XMax,YMin,Ymax
0,9402,-98,-96,14,16
1,9403,-96,-94,14,16
2,9404,-94,-92,14,16
3,9405,-92,-90,14,16
4,9579,-104,-102,16,18
5,9580,-102,-100,16,18
6,9581,-100,-98,16,18
7,9582,-98,-96,16,18
8,9583,-96,-94,16,18
9,9584,-94,-92,16,18
10,9585,-92,-90,16,18
11,9586,-90,-88,16,18
12,9597,-68,-66,16,18
13,9598,-66,-64,16,18
14,9732,-158,-156,18,20
15,9733,-156,-154,18,20
16,9758,-106,-104,18,20
17,9759,-104,-102,18,20
18,9760,-102,-100,18,20
19,9761,-100,-98,18,20
20,9762,-98,-96,18,20
21,9763,-96,-94,18,20
22,9764,-94,-92,18,20
23,9765,-92,-90,18,20
24,9766,-90,-88,18,20
25,9767,-88,-86,18,20
26,9777,-68,-66,18,20
27,9778,-66,-64,18,20
28,9910,-162,-160,20,22
29,9911,-160,-158,20,22
30,9912,-158,-156,20,22
31,9913,-156,-154,20,22
32,9937,-108,-106,20,22
33,9938,-106,-104,20,22
34,9939,-104,-102,20,22
35,9940,-102,-100,20,22
36,9941,-100,-98,20,22
37,9942,-98,-96,20,22
38,9944,-94,-92,20,22
39,9945,-92,-90,20,22
40,9946,-90,-88,20,22
41,9947,-88,-86,20,22
42,10090,-162,-160,22,24
43,10091,-160,-158,22,24
44,10115,-112,-110,22,24
45,10116,-110,-108,22,24
46,10117,-108,-106,22,24
47,10118,-106,-104,22,24
48,10119,-104,-102,22,24
49,10120,-102,-100,22,24
50,10121,-100,-98,22,24
51,10122,-98,-96,22,24
52,10125,-92,-90,22,24
53,10126,-90,-88,22,24
54,10294,-114,-112,24,26
55,10295,-112,-110,24,26
56,10296,-110,-108,24,26
57,10297,-108,-106,24,26
58,10298,-106,-104,24,26
59,10299,-104,-102,24,26
60,10300,-102,-100,24,26
61,10301,-100,-98,24,26
62,10302,-98,-96,24,26
63,10309,-84,-82,24,26
64,10310,-82,-80,24,26
65,10473,-116,-114,26,28
66,10474,-114,-112,26,28
67,10475,-112,-110,26,28
68,10476,-110,-108,26,28
69,10477,-108,-106,26,28
70,10478,-106,-104,26,28
71,10479,-104,-102,26,28
72,10480,-102,-100,26,28
